region,region_ar,cluster_id,cluster_label,pc1,pc2,deaths_per_1k_vehicles,fatality_ratio,log_vehicles_total,road_density_per_capita,road_density_per_area,n_anomaly_flags,z_deaths_per_1k_vehicles,z_fatality_ratio,z_log_vehicles_total,z_road_density_per_capita,z_road_density_per_area,z_n_anomaly_flags
Eastern,المنطقة الشرقية,0,Urban Core,2.4674,-1.1954,1.0487,0.1755,13.0667,0.0068,0.0713,0,-1.385,-0.308,1.457,-1.212,-0.95,-1.037
Madinah,المدينة المنورة,0,Urban Core,0.8476,0.3496,3.7938,0.0912,11.1503,0.0123,0.1979,0,0.279,-1.331,-0.015,-0.243,-0.332,-1.037
Makkah,مكة المكرمة,0,Urban Core,1.7265,1.1012,2.1868,0.1138,13.0857,0.0064,0.4008,3,-0.695,-1.058,1.472,-1.281,0.66,1.491
Qassim,القصيم,0,Urban Core,0.6347,-0.3106,1.8462,0.1758,11.5727,0.0172,0.3559,0,-0.902,-0.304,0.309,0.612,0.441,-1.037
Riyadh,الرياض,0,Urban Core,2.8406,-0.7322,1.1495,0.1476,13.628,0.0065,0.162,0,-1.324,-0.647,1.889,-1.262,-0.507,-1.037
Al-Baha,الباحة,1,Dense High-Injury,-1.0195,1.9625,4.3116,0.0997,9.5573,0.0199,0.6431,1,0.593,-1.229,-1.239,1.092,1.845,-0.194
Jazan,جازان,1,Dense High-Injury,-0.3575,2.661,5.2602,0.1875,10.7928,0.0061,0.685,3,1.169,-0.161,-0.29,-1.334,2.05,1.491
Al-Jouf,الجوف,2,Sparse High-Severity,-1.1854,-1.4007,2.0648,0.3161,10.2936,0.0177,0.1321,2,-0.769,1.4,-0.674,0.707,-0.653,0.648
Aseer,عسير,2,Sparse High-Severity,-0.2567,0.1508,4.7065,0.2728,11.49,0.0142,0.3958,0,0.833,0.875,0.246,0.085,0.636,-1.037
Hail,حائل,2,Sparse High-Severity,-2.5787,-1.4767,3.2137,0.3746,10.4317,0.0248,0.1577,3,-0.072,2.11,-0.567,1.948,-0.528,1.491
Najran,نجران,2,Sparse High-Severity,-0.4712,-1.035,3.1001,0.2612,10.3089,0.013,0.0655,1,-0.141,0.734,-0.662,-0.114,-0.978,-0.194
Northern Borders,الحدود الشمالية,2,Sparse High-Severity,-1.2512,-0.2769,3.672,0.1685,9.4137,0.0177,0.0775,2,0.206,-0.392,-1.35,0.693,-0.92,0.648
Tabuk,تبوك,2,Sparse High-Severity,-1.3967,0.2024,6.9763,0.2265,10.4206,0.0155,0.1095,1,2.209,0.312,-0.576,0.31,-0.763,-0.194
