region,region_ar,year,metric,value
Al-Baha,الباحة,2020,injuries,628.0
Al-Baha,الباحة,2021,injuries,565.0
Al-Baha,الباحة,2022,injuries,526.0
Al-Baha,الباحة,2023,injuries,500
Al-Baha,الباحة,2024,injuries,551
Al-Jouf,الجوف,2020,injuries,359.0
Al-Jouf,الجوف,2021,injuries,423.0
Al-Jouf,الجوف,2022,injuries,191.0
Al-Jouf,الجوف,2023,injuries,133
Al-Jouf,الجوف,2024,injuries,132
Aseer,عسير,2020,injuries,1718.0
Aseer,عسير,2021,injuries,1621.0
Aseer,عسير,2022,injuries,1337.0
Aseer,عسير,2023,injuries,1055
Aseer,عسير,2024,injuries,1226
Eastern,المنطقة الشرقية,2020,injuries,2121.0
Eastern,المنطقة الشرقية,2021,injuries,2162.0
Eastern,المنطقة الشرقية,2022,injuries,2591.0
Eastern,المنطقة الشرقية,2023,injuries,2358
Eastern,المنطقة الشرقية,2024,injuries,2330
Hail,حائل,2020,injuries,601.0
Hail,حائل,2021,injuries,473.0
Hail,حائل,2022,injuries,201.0
Hail,حائل,2023,injuries,78
Hail,حائل,2024,injuries,182
Jazan,جازان,2020,injuries,1841.0
Jazan,جازان,2021,injuries,1545.0
Jazan,جازان,2022,injuries,1215.0
Jazan,جازان,2023,injuries,1029
Jazan,جازان,2024,injuries,1109
Madinah,المدينة المنورة,2020,injuries,2607.0
Madinah,المدينة المنورة,2021,injuries,2653.0
Madinah,المدينة المنورة,2022,injuries,2652.0
Madinah,المدينة المنورة,2023,injuries,3109
Madinah,المدينة المنورة,2024,injuries,2630
Makkah,مكة المكرمة,2020,injuries,8502.0
Makkah,مكة المكرمة,2021,injuries,8827.0
Makkah,مكة المكرمة,2022,injuries,8879.0
Makkah,مكة المكرمة,2023,injuries,9143
Makkah,مكة المكرمة,2024,injuries,8211
Najran,نجران,2020,injuries,512.0
Najran,نجران,2021,injuries,508.0
Najran,نجران,2022,injuries,228.0
Najran,نجران,2023,injuries,133
Najran,نجران,2024,injuries,263
Northern Borders,الحدود الشمالية,2020,injuries,320.0
Northern Borders,الحدود الشمالية,2021,injuries,366.0
Northern Borders,الحدود الشمالية,2022,injuries,362.0
Northern Borders,الحدود الشمالية,2023,injuries,262
Northern Borders,الحدود الشمالية,2024,injuries,222
Qassim,القصيم,2020,injuries,1265.0
Qassim,القصيم,2021,injuries,1168.0
Qassim,القصيم,2022,injuries,1150.0
Qassim,القصيم,2023,injuries,1069
Qassim,القصيم,2024,injuries,919
Riyadh,الرياض,2020,injuries,4286.0
Riyadh,الرياض,2021,injuries,4552.0
Riyadh,الرياض,2022,injuries,4585.0
Riyadh,الرياض,2023,injuries,4646
Riyadh,الرياض,2024,injuries,5503
Tabuk,تبوك,2020,injuries,801.0
Tabuk,تبوك,2021,injuries,649.0
Tabuk,تبوك,2022,injuries,529.0
Tabuk,تبوك,2023,injuries,487
Tabuk,تبوك,2024,injuries,799
Al-Baha,الباحة,2020,deaths,95.0
Al-Baha,الباحة,2021,deaths,92.0
Al-Baha,الباحة,2022,deaths,98.0
Al-Baha,الباحة,2023,deaths,67
Al-Baha,الباحة,2024,deaths,61
Al-Jouf,الجوف,2020,deaths,118.0
Al-Jouf,الجوف,2021,deaths,105.0
Al-Jouf,الجوف,2022,deaths,82.0
Al-Jouf,الجوف,2023,deaths,58
Al-Jouf,الجوف,2024,deaths,61
Aseer,عسير,2020,deaths,601.0
Aseer,عسير,2021,deaths,536.0
Aseer,عسير,2022,deaths,456.0
