region,region_ar,year,month,traffic_count,region_median,region_mad,z_score_mad,mad_flag,iforest_score,is_anomaly,is_hajj_month,is_ramadan_month
Al-Baha,الباحة,2024,1,482342,504038.5,64150.0,-0.2281,0,0.4141,0,0,0
Al-Baha,الباحة,2024,2,401635,504038.5,64150.0,-1.0767,0,0.5531,0,0,0
Al-Baha,الباحة,2024,3,439315,504038.5,64150.0,-0.6805,0,0.4496,0,0,1
Al-Baha,الباحة,2024,4,504553,504038.5,64150.0,0.0054,0,0.4071,0,0,1
Al-Baha,الباحة,2024,5,575578,504038.5,64150.0,0.7522,0,0.4019,0,0,0
Al-Baha,الباحة,2024,6,669726,504038.5,64150.0,1.7421,0,0.4649,0,1,0
Al-Baha,الباحة,2024,7,777725,504038.5,64150.0,2.8776,1,0.6317,1,0,0
Al-Baha,الباحة,2024,8,675147,504038.5,64150.0,1.7991,0,0.4724,0,0,0
Al-Baha,الباحة,2024,9,528412,504038.5,64150.0,0.2563,0,0.413,0,0,0
Al-Baha,الباحة,2024,10,503524,504038.5,64150.0,-0.0054,0,0.4071,0,0,0
Al-Baha,الباحة,2024,11,473264,504038.5,64150.0,-0.3236,0,0.4175,0,0,0
Al-Baha,الباحة,2024,12,440462,504038.5,64150.0,-0.6685,0,0.45,0,0,0
Al-Jouf,الجوف,2024,1,734536,717898.0,27774.0,0.4041,0,0.3844,0,0,0
Al-Jouf,الجوف,2024,2,722100,717898.0,27774.0,0.102,0,0.3801,0,0,0
Al-Jouf,الجوف,2024,3,713696,717898.0,27774.0,-0.102,0,0.3807,0,0,1
Al-Jouf,الجوف,2024,4,702137,717898.0,27774.0,-0.3828,0,0.384,0,0,1
Al-Jouf,الجوف,2024,5,758065,717898.0,27774.0,0.9755,0,0.4038,0,0,0
Al-Jouf,الجوف,2024,6,708368,717898.0,27774.0,-0.2314,0,0.3807,0,1,0
Al-Jouf,الجوف,2024,7,779098,717898.0,27774.0,1.4862,0,0.4275,0,0,0
