region,year,month,traffic_count,count_points
Riyadh,2024,1,5030132,29
Riyadh,2024,2,4989114,29
Riyadh,2024,3,5546244,29
Riyadh,2024,4,5723435,29
Riyadh,2024,5,5380452,29
Riyadh,2024,6,5085941,29
Riyadh,2024,7,5739632,29
Riyadh,2024,8,6075317,29
Riyadh,2024,9,5043423,29
Riyadh,2024,10,5006143,29
Riyadh,2024,11,4752622,29
Riyadh,2024,12,4236901,29
Makkah,2024,1,12949516,41
Makkah,2024,2,11501385,41
Makkah,2024,3,13018071,41
Makkah,2024,4,12815538,41
Makkah,2024,5,10976100,41
Makkah,2024,6,13109071,41
Makkah,2024,7,14849210,41
Makkah,2024,8,13866172,41
Makkah,2024,9,13363090,41
Makkah,2024,10,13233465,41
Makkah,2024,11,13773749,41
Makkah,2024,12,13587953,41
Madinah,2024,1,2934460,26
Madinah,2024,2,2744369,26
Madinah,2024,3,2872351,26
Madinah,2024,4,2960901,26
Madinah,2024,5,2827083,26
Madinah,2024,6,4107139,26
Madinah,2024,7,4244352,26
Madinah,2024,8,4401317,26
Madinah,2024,9,3984699,26
Madinah,2024,10,4038877,26
Madinah,2024,11,3736161,26
Madinah,2024,12,3719507,26
Qassim,2024,1,2456348,11
Qassim,2024,2,2383913,11
Qassim,2024,3,2359656,11
Qassim,2024,4,2342296,11
Qassim,2024,5,2397283,11
Qassim,2024,6,2008490,11
Qassim,2024,7,1936605,11
Qassim,2024,8,1815925,11
Qassim,2024,9,1743597,11
Qassim,2024,10,2123261,11
Qassim,2024,11,2099526,11
Qassim,2024,12,2104164,11
Eastern,2024,1,5211270,37
Eastern,2024,2,4751174,37
Eastern,2024,3,4530782,37
Eastern,2024,4,5354131,37
Eastern,2024,5,5625170,37
Eastern,2024,6,5407854,37
Eastern,2024,7,5610098,37
Eastern,2024,8,5321413,37
Eastern,2024,9,4780471,37
Eastern,2024,10,5101518,37
Eastern,2024,11,4684351,37
Eastern,2024,12,5004422,37
Aseer,2024,1,1498847,10
Aseer,2024,2,1213496,10
Aseer,2024,3,1348282,10
Aseer,2024,4,1467169,10
Aseer,2024,5,808098,10
Aseer,2024,6,922312,10
Aseer,2024,7,1098417,10
Aseer,2024,8,1090596,10
Aseer,2024,9,943425,10
Aseer,2024,10,978745,10
Aseer,2024,11,1030561,10
Aseer,2024,12,1054299,10
Tabuk,2024,1,1091297,14
Tabuk,2024,2,1000357,14
Tabuk,2024,3,1046558,14
Tabuk,2024,4,1015771,14
Tabuk,2024,5,1179402,14
Tabuk,2024,6,1062331,14
Tabuk,2024,7,1147503,14
Tabuk,2024,8,1048452,14
Tabuk,2024,9,770496,14
Tabuk,2024,10,774291,14
Tabuk,2024,11,750537,14
Tabuk,2024,12,637929,14
Hail,2024,1,1153232,12
Hail,2024,2,1038657,12
Hail,2024,3,997107,12
Hail,2024,4,1053466,12
Hail,2024,5,973883,12
Hail,2024,6,1043767,12
Hail,2024,7,1074554,12
Hail,2024,8,1092598,12
Hail,2024,9,988285,12
Hail,2024,10,478704,12
Hail,2024,11,517930,12
Hail,2024,12,466708,12
Northern Borders,2024,1,549275,8
Northern Borders,2024,2,593793,8
Northern Borders,2024,3,566381,8
Northern Borders,2024,4,521056,8
Northern Borders,2024,5,531771,8
Northern Borders,2024,6,510490,8
Northern Borders,2024,7,538769,8
Northern Borders,2024,8,569063,8
Northern Borders,2024,9,555647,8
Northern Borders,2024,10,511895,8
Northern Borders,2024,11,410164,8
Northern Borders,2024,12,224855,8
Jazan,2024,1,473927,3
Jazan,2024,2,435248,3
Jazan,2024,3,466326,3
Jazan,2024,4,448937,3
Jazan,2024,5,471071,3
Jazan,2024,6,449452,3
Jazan,2024,7,454448,3
Jazan,2024,8,553406,3
Jazan,2024,9,629677,3
Jazan,2024,10,648695,3
Jazan,2024,11,588130,3
Jazan,2024,12,561764,3
Najran,2024,1,643568,10
Najran,2024,2,617093,10
Najran,2024,3,650163,10
Najran,2024,4,665262,10
Najran,2024,5,711072,10
Najran,2024,6,722541,10
Najran,2024,7,710828,10
Najran,2024,8,758454,10
Najran,2024,9,665101,10
Najran,2024,10,675485,10
Najran,2024,11,655297,10
Najran,2024,12,651613,10
Al-Baha,2024,1,482342,6
Al-Baha,2024,2,401635,6
Al-Baha,2024,3,439315,6
Al-Baha,2024,4,504553,6
Al-Baha,2024,5,575578,6
Al-Baha,2024,6,669726,6
Al-Baha,2024,7,777725,6
Al-Baha,2024,8,675147,6
Al-Baha,2024,9,528412,6
Al-Baha,2024,10,503524,6
Al-Baha,2024,11,473264,6
Al-Baha,2024,12,440462,6
Al-Jouf,2024,1,734536,8
Al-Jouf,2024,2,722100,8
Al-Jouf,2024,3,713696,8
Al-Jouf,2024,4,702137,8
Al-Jouf,2024,5,758065,8
Al-Jouf,2024,6,708368,8
Al-Jouf,2024,7,779098,8
Al-Jouf,2024,8,824097,8
Al-Jouf,2024,9,736598,8
Al-Jouf,2024,10,681050,8
Al-Jouf,2024,11,655864,8
Al-Jouf,2024,12,306296,8
